,CIN,Name,Industry,Sector,Headquarters,Founded,Notes,link,Type,Industry.1,Founded.1,Headquarters.1,Key people,Services,Revenue,Operating income,Net income,Total assets,Total equity,Website,Number of employees,Traded as,Parent,Products,Area served,Founder,Owner,Subsidiaries,ISIN,Year,Revenue.1,CIN.1,Company Name,Company Status,RoC,Registration Number,Company Category,Company Sub Category,Class of Company,Date of Incorporation,Age of Company,Activity,Number of Members,Authorised Capital,Paid up capital,Date of Last Annual General Meeting,Date of Latest Balance Sheet,Description
281,L31300PN2000PLC202408,Sterlite Technologies,Technology,Telecommunications equipment,Pune,2000,"Optical fiber & cables, part of Vedanta Resources (UK)",https://en.wikipedia.org/wiki/Sterlite_Technologies,Public,"Telecommunications
Technology
Datacenters
Virtualized Networks
Network equipment",1988; 34 years ago[1],"Mumbai, Maharashtra, India[2]","Anil Agarwal
Pravin Agarwal
Ankit Agarwal
(Managing Director) [3]
K S Rao
Paul Atkinson
Chris Rice
Praveen Cherian
Raman Venkatraman","Optical fibre infrastructure, passive infrastructure, access networks, metro, FTTH, wi-fi, IBS, optics & MPLS core network, enterprise services, fixed broadband, telecom software","₹50,870 million (US$670 million)[4]","₹2,461 million (US$32 million)[4]",,,,www.stl.tech,,"BSE: 532374
NSE: STRTECH",,"Optical fiber
Fiber optic cables
Structured data cables
Network services
Network software
Access Solution",Worldwide,Anil Agarwal,,ClearCom,INE089C01029,,,L31300PN2000PLC202408,STERLITE TECHNOLOGIES LIMITED,Active,RoC-Pune,202408.0,Company limited by Shares,Non-govt company,Public,24 March 2000,"22 years, 0 month, 15 days","Manufacture of insulated wire and cable [insulated (including enamelled or anodized) wire, cable (including coaxial cable) and other insulated conductors; insulated strip as is used in large capacity machines or control equipment; and optical fibre cables]",-,"₹1,500,000,000","₹795,292,740",26 August 2021,31 March 2021,"Sterlite Technologies Limited is a Public incorporated on 24 March 2000. It is classified as Non-govt company and is registered at Registrar of Companies, Pune. Its authorized share capital is Rs. 1,500,000,000 and its paid up capital is Rs. 795,292,740. It is inolved in Manufacture of insulated wire and cable [insulated (including enamelled or anodized) wire, cable (including coaxial cable) and other insulated conductors; insulated strip as is used in large capacity machines or control equipment; and optical fibre cables]

Sterlite Technologies Limited's Annual General Meeting (AGM) was last held on 26 August 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Sterlite Technologies Limited are Ankit Agarwal, Anil Kumar Agarwal, Bangalore Jayaram Arun, Pravin Agarwal, Subramanian Madhavan, Kumud Madhok Srinivasan, Sandip Das, .

Sterlite Technologies Limited's Corporate Identification Number is (CIN) L31300PN2000PLC202408 and its registration number is 202408.Its Email address is secretarial@stl.tech and its registered address is 4th Floor, Godrej Millennium, Koregaon Road 9, STS 12/1 pune Pune MH 411001 IN , - , .

Current status of Sterlite Technologies Limited is - Active.

"
282,U51220MH2004PTC145857,Suminter India Organics,Consumer goods,Food products,Mumbai,2003,Organic products,https://en.wikipedia.org/wiki/Suminter_India_Organics,Private,Organic farming and distribution,2003,"Mumbai, India",,,,,,,,suminterindiaorganics.com,600,,,Organic food and fibers,"Europe, United States",Sameer Mehra,,,,,,U51220MH2004PTC145857,SUMINTER INDIA ORGANICS PRIVATE LIMITED,Active,RoC-Mumbai,145857.0,Company limited by Shares,Non-govt company,Private,22 April 2004,"17 years, 11 month, 16 days","Wholesale of agricultural raw material, live animals, food beverages and tobacco",-,"₹30,000,000","₹19,201,000",25 September 2019,31 March 2019,"Suminter India Organics Private Limited is a Private incorporated on 22 April 2004. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 30,000,000 and its paid up capital is Rs. 19,201,000. It is inolved in Wholesale of agricultural raw material, live animals, food beverages and tobacco

Suminter India Organics Private Limited's Annual General Meeting (AGM) was last held on 25 September 2019 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2019.

Directors of Suminter India Organics Private Limited are Nitin Sehgal, Sameer Vijaykumar Mehra, Mandira Kumbham Reddy, Akshay Dua, Sandeep Singhal, .

Suminter India Organics Private Limited's Corporate Identification Number is (CIN) U51220MH2004PTC145857 and its registration number is 145857.Its Email address is info.suminter@suminter.com and its registered address is 3rd Floor, X Cube Building, New Link Road Andheri (West) Mumbai Mumbai City MH 400053 IN , - , .

Current status of Suminter India Organics Private Limited is - Active.

"
283,L24230GJ1993PLC019050,Sun Pharmaceutical,Health care,Pharmaceuticals,Mumbai,1983,Pharma,https://en.wikipedia.org/wiki/Sun_Pharmaceutical,Public,Pharmaceuticals,1983; 39 years ago,"Mumbai, Maharashtra, India",Dilip Shanghvi (MD),,₹331.39 billion (US$4.3 billion) (2021)[1],₹50.10 billion (US$660 million) (2021)[1],₹37.65 billion (US$490 million) (2021)[1],₹682.52 billion (US$9.0 billion) (2021)[1],₹491.25 billion (US$6.4 billion) (2021)[1],sunpharma.com,"37,000+ (2021)[1]","BSE: 524715
NSE: SUNPHARMA
BSE SENSEX Constituent
NSE NIFTY 50 Constituent",,PharmaceuticalsBranded generic drugsover-the-counter drugsSpeciality drugsOTCsAPIsARVs,Worldwide,Dilip Shanghvi,,,INE044A01036,,,L24230GJ1993PLC019050,SUN PHARMACEUTICAL INDUSTRIES LIMITED,Active,RoC-Ahmedabad,19050.0,Company limited by Shares,Non-govt company,Public,01 March 1993,"29 years, 1 month, 7 days",Manufacture of other chemical products,-,"₹6,000,000,000","₹2,399,334,910",31 August 2021,31 March 2021,"Sun Pharmaceutical Industries Limited is a Public incorporated on 01 March 1993. It is classified as Non-govt company and is registered at Registrar of Companies, Ahmedabad. Its authorized share capital is Rs. 6,000,000,000 and its paid up capital is Rs. 2,399,334,910. It is inolved in Manufacture of other chemical products

Sun Pharmaceutical Industries Limited's Annual General Meeting (AGM) was last held on 31 August 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Sun Pharmaceutical Industries Limited are Rama Bijapurkar, Sudhir Vrundavandas Valia, Kalyanasundaram Iyer Natesan Subramanian, Pawan Kumar Goenka, Gautam Bhailal Doshi, Sailesh Trambaklal Desai, Israel Makov, Dilip Shantilal Shanghvi, .

Sun Pharmaceutical Industries Limited's Corporate Identification Number is (CIN) L24230GJ1993PLC019050 and its registration number is 19050.Its Email address is ashok.bhuta@sunpharma.com and its registered address is SPARC, TANDALJA, VADODARA Vadodara GJ 390012 IN , - , .

Current status of Sun Pharmaceutical Industries Limited is - Active.

"
284,L31501HR1973PLC007543,Surya Roshni Limited,Industrials,General industry,Delhi,1973,"Fans, PVC, kitchen appliances, lighting, steel",https://en.wikipedia.org/wiki/Surya_Roshni_Limited,Private,"Lighting, Fan, Steel, PVC Pipes",1973[1],"Delhi, India[2]
Steel Division: Bahadurgarh, Haryana","Jai Prakash Agarwal
(Chairman)
Raju Bista
(Managing Director)",,"₹6,000 crore (US$790 million) (2018-19)",,,,,www.surya.co.in,,"NSE: SURYAROSNI
BSE: 500336
ISIN: INE335A01012",,"Lighting, Steel, PVC Pipes, Fans",Worldwide,B.D. Agarwal,,,,,,L31501HR1973PLC007543,SURYA ROSHNI LIMITED,Active,RoC-Delhi,7543.0,Company limited by Shares,Non-govt company,Public,17 October 1973,"48 years, 5 month, 22 days",Manufacture of electric lamps and lighting equipment,-,"₹2,675,000,060","₹544,089,730",16 September 2021,31 March 2021,"Surya Roshni Limited is a Public incorporated on 17 October 1973. It is classified as Non-govt company and is registered at Registrar of Companies, Delhi. Its authorized share capital is Rs. 2,675,000,060 and its paid up capital is Rs. 544,089,730. It is inolved in Manufacture of electric lamps and lighting equipment

Surya Roshni Limited's Annual General Meeting (AGM) was last held on 16 September 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Surya Roshni Limited are Ravinder Kumar Narang, Pramod Jain, Raju Bista, Sudhanshu Kumar Awasthi, Krishan Kumar Narula, Tara Sankar Bhattacharya, Vinay Surya, Suruchi Aggarwal, Sunil Sikka, Surendra Singh Khurana, Kaustubh Narsinh Karmarkar, Jai Prakash Agarwal, Urmil Agarwal, Bhavna Kasturia, .

Surya Roshni Limited's Corporate Identification Number is (CIN) L31501HR1973PLC007543 and its registration number is 7543.Its Email address is bbsingal@gmail.com and its registered address is PRAKASH NAGAR SANKHOL BAHADURGARH HR 124507 IN , - , .

Current status of Surya Roshni Limited is - Active.

"
285,U31101PN2004PLC019205,Suzlon,Utilities,Alternative energy,Pune,1995,Turbines,https://en.wikipedia.org/wiki/Suzlon,Public,Renewable energy,1995; 27 years ago,"One Earth, Hadapsar, Pune, Maharashtra, India","Tulsi Tanti (CMD)
Ashwani Kumar (CEO, Suzlon Group)",,"₹4,187.33 crore (US$550 million) (2021)","₹1,101.23 crore (US$140 million) (2021)",₹104.18 crore (US$14 million) (2021),"₹6,601.09 crore (US$870 million) (2021)","₹−3,400.71 crore (US$−450 million) (2021)",www.suzlon.com,,"BSE: 532667
NSE: SUZLON",,Wind turbines,Worldwide,Tulsi Tanti,Tanti Family,,INE040H01021,,,U31101PN2004PLC019205,SUZLON GENERATORS LIMITED,Active,RoC-Pune,19205.0,Company limited by Shares,Non-govt company,Public,29 April 2004,"17 years, 11 month, 9 days","Manufacture of electric motors, generators and transformers",7,"₹915,000,000","₹762,809,660",30 September 2020,31 March 2020,"Suzlon Generators Limited is a Public incorporated on 29 April 2004. It is classified as Non-govt company and is registered at Registrar of Companies, Pune. Its authorized share capital is Rs. 915,000,000 and its paid up capital is Rs. 762,809,660. It is inolved in Manufacture of electric motors, generators and transformers

Suzlon Generators Limited's Annual General Meeting (AGM) was last held on 30 September 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Suzlon Generators Limited are Vinod Ranchhodbhai Tanti, Vaidhyanathan Raghuraman, Ranjitsinh Abhaysinh Parmar, Wolfgang Landler, Per Torben Hornung Pedersen, .

Suzlon Generators Limited's Corporate Identification Number is (CIN) U31101PN2004PLC019205 and its registration number is 19205.Its Email address is mca@suzlon.com and its registered address is GAT NO. 339/3/1 & PLOT NO A-20/1 CHAKAN INDUSTRIAL AREA VILLAGE MAHALUNGE TALUKA KHED PUNE MH 410501 IN , - , .

Current status of Suzlon Generators Limited is - Active.

"
286,L50101PB1983PLC005516,Swaraj Mazda,Consumer goods,Automobiles,Chandigarh,1983,Defunct 2011,https://en.wikipedia.org/wiki/Swaraj_Mazda,,,1983; 39 years ago,India,Junya Yamanishi,,,,,,,smlisuzu.com,,,Sumitomo Corporation,"Trucks, buses, ambulances, police vehicles, water tankers and other special vehicles",,,,,,,,L50101PB1983PLC005516,SML ISUZU LIMITED,Active,RoC-Chandigarh,5516.0,Company limited by Shares,Non-govt company,Public,26 July 1983,"38 years, 8 month, 13 days","Sale of motor vehicles [Includes wholesale and retail sale of new and used passenger motor vehicles and lorries, trailers and semi trailers].",-,"₹400,000,000","₹144,716,464",24 August 2020,31 March 2020,"Sml Isuzu Limited is a Public incorporated on 26 July 1983. It is classified as Non-govt company and is registered at Registrar of Companies, Chandigarh. Its authorized share capital is Rs. 400,000,000 and its paid up capital is Rs. 144,716,464. It is inolved in Sale of motor vehicles [Includes wholesale and retail sale of new and used passenger motor vehicles and lorries, trailers and semi trailers].

Sml Isuzu Limited's Annual General Meeting (AGM) was last held on 24 August 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Sml Isuzu Limited are Gota Iwanami, Eiichi Seto, Takuro Horikoshi, Vasantha Suresh Bharucha, Pankaj Bajaj, Chandra Shekhar Verma, .

Sml Isuzu Limited's Corporate Identification Number is (CIN) L50101PB1983PLC005516 and its registration number is 5516.Its Email address is pmadan@smlisuzu.com and its registered address is VILLAGE ASRON DISTRICT NAWANSHAHR NAWANSHAHR PB 160034 IN , - , .

Current status of Sml Isuzu Limited is - Active.

"
287,U51909KL2000PLC013664,Synthite,Consumer goods,Food products,Kochi,1972,Value added spice extracts,https://en.wikipedia.org/wiki/Synthite,Privately held company,Manufacturing,1972,"Kolenchery, Kochi, India","C V Jacob
(Chairman)
Mr Jacob
(Managing Director)",,,,,,,http://www.synthite.com,,,,Value Added Spice Extracts (Oleoresins),Worldwide,Late. C V Jacob,,,,,,U51909KL2000PLC013664,SYNTHITE EXPORTS LIMITED,Active,RoC-Ernakulam,13664.0,Company limited by Shares,Non-govt company,Public,09 February 2000,"22 years, 1 month, 28 days",Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.],-,"₹115,000,000","₹1,000,000",09 October 2020,31 March 2020,"Synthite Exports Limited is a Public incorporated on 09 February 2000. It is classified as Non-govt company and is registered at Registrar of Companies, Ernakulam. Its authorized share capital is Rs. 115,000,000 and its paid up capital is Rs. 1,000,000. It is inolved in Other wholesale [Includes specialized wholesale not covered in any one of the previous categories and wholesale in a variety of goods without any particular specialization.]

Synthite Exports Limited's Annual General Meeting (AGM) was last held on 09 October 2020 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Synthite Exports Limited are Varghese Jacob, Mani Varghese, Paolo George and .

Synthite Exports Limited's Corporate Identification Number is (CIN) U51909KL2000PLC013664 and its registration number is 13664.Its Email address is jyothi@synthite.com and its registered address is AJAY VIHARDOOR NO 39/2033 M G ROAD COCHIN ERNAKULAM KL 682016 IN , - , .

Current status of Synthite Exports Limited is - Active.

"
288,U65110TN1921PLC001908,Tamilnad Mercantile Bank Limited,Financials,Banks,Tuticorin,1921,Bank,https://en.wikipedia.org/wiki/Tamilnad_Mercantile_Bank_Limited,Private,Banking and Financial Services,11 May 1921; 100 years ago,"Thoothukudi, Tamil Nadu, India","K. V. Rama Moorthy
(MD & CEO)[2]",,"₹3,992.52 crore (US$520 million) (2020)[3]",₹995.05 crore (US$130 million) (2020)[3],₹407.69 crore (US$54 million) (2020)[3],"₹42,758.79 crore (US$5.6 billion) (2020)[3]",,www.tmb.in,,,,"Credit cards
Consumer banking
Corporate banking
Finance and Insurance
Mortgage loans
Private banking
Wealth management",Worldwide,,,,,,,U65110TN1921PLC001908,TAMILNAD MERCANTILE BANK LIMITED,Active,RoC-Chennai,1908.0,Company limited by Shares,Non-govt company,Public,11 May 1921,"100 years, 10 month, 28 days",Monetary Intermediation [This group includes the obtaining of funds in the form of deposits],-,"₹2,800,000,000","₹1,425,114,500",,31 March 2020,"Tamilnad Mercantile Bank Limited is a Public incorporated on 11 May 1921. It is classified as Non-govt company and is registered at Registrar of Companies, Chennai. Its authorized share capital is Rs. 2,800,000,000 and its paid up capital is Rs. 1,425,114,500. It is inolved in Monetary Intermediation [This group includes the obtaining of funds in the form of deposits]

Tamilnad Mercantile Bank Limited's Annual General Meeting (AGM) was last held on N/A and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2020.

Directors of Tamilnad Mercantile Bank Limited are Balasubramanian Vijayadurai, Shivavel Ezhil Jothi, Gopal Natarajan, Subramaniam Babu Suresh Kumar, Nagarajan Kandavel, Dhanushkodi Nithyanandam Nirranjan Kani, Annamalai Niranjan Sankar, Asok Kumar Periyanadar Chidambaram Nada, Chandrasekaran Chiranjeeviraj, Rama Moorthy Kumarabommarajpuram Venkat, Balakrishnan Prabaharan, .

Tamilnad Mercantile Bank Limited's Corporate Identification Number is (CIN) U65110TN1921PLC001908 and its registration number is 1908.Its Email address is mdoffice@tmbank.in and its registered address is 57,VICTORIA EXTENSION ROAD THOOTHUKUDI TN 628002 IN , - , .

Current status of Tamilnad Mercantile Bank Limited is - Active.

"
289,U72900TG2006PLC077939,Tata Advanced Systems,Industrials,Aerospace & defense,Hyderabad,2007,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Advanced_Systems,Private,Defence and Aerospace,2007,"Hyderabad, Telengana, India",Natarajan Chandrasekaran (Chairman),,,,,,,www.tataadvancedsystems.com,3000+,,Tata Sons,,India,,,,,,,U72900TG2006PLC077939,TATA ADVANCED SYSTEMS LIMITED,Active,RoC-Hyderabad,77939.0,Company limited by Shares,Non-govt company,Public,19 September 2006,"15 years, 6 month, 19 days",Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.],-,"₹29,300,000,800","₹21,103,943,700",23 July 2021,31 March 2021,"Tata Advanced Systems Limited is a Public incorporated on 19 September 2006. It is classified as Non-govt company and is registered at Registrar of Companies, Hyderabad. Its authorized share capital is Rs. 29,300,000,800 and its paid up capital is Rs. 21,103,943,700. It is inolved in Other computer related activities [for example maintenance of websites of other firms/ creation of multimedia presentations for other firms etc.]

Tata Advanced Systems Limited's Annual General Meeting (AGM) was last held on 23 July 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Tata Advanced Systems Limited are Banmali Agrawala, Kesava Menon Chandrasekhar, Sukaran Singh, Maya Swaminathan Sinha, Vijay Singh, Norman Anil Kumar Browne, .

Tata Advanced Systems Limited's Corporate Identification Number is (CIN) U72900TG2006PLC077939 and its registration number is 77939.Its Email address is cnage@tata.com and its registered address is Hardware Park, Plot No 21,Sy No 1/1, Imarat Kancha Raviryala Village, Maheshwaram Mandal Hyderabad Hyderabad TG 501218 IN , - , .

Current status of Tata Advanced Systems Limited is - Active.

"
290,U64200KA1995PLC148924,Tata Business Support Services,Industrials,Business support services,Hyderabad,2004,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Business_Support_Services,Private Limited,Business process outsourcing,2004,Hyderabad,Srinivas Koppolu,Customer LifeCycle Management services,,,,,,conneqtcorp.com/in/,"23,000 (31 August 2015)",,,,Worldwide,,,,,,,U64200KA1995PLC148924,CONNEQT BUSINESS SOLUTIONS LIMITED,Active,RoC-Bangalore,148924.0,Company limited by Shares,Non-govt company,Public,14 March 1995,"27 years, 0 month, 25 days","Telecommunications [Production of radio and television programmes, whether or not combined with broadcasting, is classified under class 9213.]",-,"₹1,910,000,000","₹1,494,638,850",13 September 2021,31 March 2021,"Conneqt Business Solutions Limited is a Public incorporated on 14 March 1995. It is classified as Non-govt company and is registered at Registrar of Companies, Bangalore. Its authorized share capital is Rs. 1,910,000,000 and its paid up capital is Rs. 1,494,638,850. It is inolved in Telecommunications [Production of radio and television programmes, whether or not combined with broadcasting, is classified under class 9213.]

Conneqt Business Solutions Limited's Annual General Meeting (AGM) was last held on 13 September 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Conneqt Business Solutions Limited are Sanjay Anandaram, Narayanaswamy Ravi Vishwanath, Pinaki Kar, Suraj Krishna Moraje, Rallabhandi Lakshmi Sarada, Srinivasan Guruprasad, .

Conneqt Business Solutions Limited's Corporate Identification Number is (CIN) U64200KA1995PLC148924 and its registration number is 148924.Its Email address is Sampath.V@conneqtcorp.com and its registered address is 3/3/2, Bellandur Gate, Sarjapur Main Road, Bangalore Bangalore KA 560103 IN , - , .

Current status of Conneqt Business Solutions Limited is - Active.

"
291,L24239MH1939PLC002893,Tata Chemicals,Basic materials,Commodity chemicals,Mumbai,1939,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Chemicals,Public,Chemicals,1938,"Mumbai, Maharashtra, India","Natarajan Chandrasekaran
(Chairman),
Ramakrishnan Mukundan
(MD & CEO)",,"₹10,667 crore (US$1.4 billion) (2020)[1]","₹1,593 crore (US$210 million) (2020)[1]","₹1,032 crore (US$140 million) (2020)[1]",,,www.tatachemicals.com,,"BSE: 500770
NSE: TATACHEM",Tata Group,"Basic and industrial chemicals, nitrogenous and phosphatic fertilizers, industrial (re)finishing products, coatings and crop nutritions",Global,,,Tata Chemicals Europe,,,,L24239MH1939PLC002893,TATA CHEMICALS LIMITED,Active,RoC-Mumbai,2893.0,Company limited by Shares,Non-govt company,Public,23 January 1939,"83 years, 2 month, 16 days",Manufacture of other chemical products,-,"₹2,700,000,000","₹2,547,562,750",02 July 2021,31 March 2021,"Tata Chemicals Limited is a Public incorporated on 23 January 1939. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 2,700,000,000 and its paid up capital is Rs. 2,547,562,750. It is inolved in Manufacture of other chemical products

Tata Chemicals Limited's Annual General Meeting (AGM) was last held on 02 July 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Tata Chemicals Limited are Ramakrishnan Mukundan, Rajiv Dube, Padmini Bhalchandra Khare, Collur Visweswaria Natraj, Kanwar Bir Singh Anand, Padmanabhan Sankaranarayanan, Chandrasekaran Natarajan, Vibha Paul Rishi, Zarir Noshir Langrana, .

Tata Chemicals Limited's Corporate Identification Number is (CIN) L24239MH1939PLC002893 and its registration number is 2893.Its Email address is rchandan@tatachemicals.com and its registered address is BOMBAY HOUSE24 HOMI MODI ST FORT MUMBAI MH 400001 IN , - , .

Current status of Tata Chemicals Limited is - Active.

"
292,L64200MH1986PLC039266,Tata Communications,Telecommunications,Fixed line telecommunications,Mumbai,1986,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Communications,Private Entity,Telecommunications,1986; 36 years ago,"Mumbai, Maharashtra, India",Amur Swaminathan Lakshminarayanan (CEO & Managing Director),"Network Services
Network Security
Internet Services
Data Center Services
Mobile Communications Services
Cloud Telephony
Cloud Networking","₹17,100 crore (US$2.2 billion) (2021)","₹4,123 crore (US$540 million) (2021)","₹1,251 crore (US$160 million) (2021)","₹21,306 crore (US$2.8 billion) (2021)",,www.tatacommunications.com,"12,000+ (2020)","BSE: 500483
NSE: TATACOMM","Tata Group (58.87%)
Public Investors (41.13%)",,Worldwide,Government of India,,,INE151A01013,,,L64200MH1986PLC039266,TATA COMMUNICATIONS LIMITED,Active,RoC-Mumbai,39266.0,Company limited by Shares,Non-govt company,Public,19 March 1986,"36 years, 0 month, 20 days","Telecommunications [Production of radio and television programmes, whether or not combined with broadcasting, is classified under class 9213.]",-,"₹4,000,000,000","₹2,849,999,870",30 June 2021,31 March 2021,"Tata Communications Limited is a Public incorporated on 19 March 1986. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 4,000,000,000 and its paid up capital is Rs. 2,849,999,870. It is inolved in Telecommunications [Production of radio and television programmes, whether or not combined with broadcasting, is classified under class 9213.]

Tata Communications Limited's Annual General Meeting (AGM) was last held on 30 June 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Tata Communications Limited are Krishnakumar Natarajan, Ganapathy Subramaniam Natarajan, Amur Swaminathan Lakshminarayanan, Ashok Sinha, Srinath Narasimhan, Renuka Ramnath, .

Tata Communications Limited's Corporate Identification Number is (CIN) L64200MH1986PLC039266 and its registration number is 39266.Its Email address is ridhi.sood@tatacommunications.com and its registered address is VSB, MAHATMA GANDHI ROAD FORT MUMBAI MH 400001 IN , - , .

Current status of Tata Communications Limited is - Active.

"
293,L22210MH1995PLC084781,Tata Consultancy Services,Industrials,Business support services,Mumbai,1968,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Consultancy_Services,Public,"Information technology
Consulting
Outsourcing",1968; 54 years ago,"Mumbai, Maharashtra, India","Natarajan Chandrasekaran
(Chairman)
Rajesh Gopinathan
(MD & CEO)",,"₹167,311 crore (US$22 billion)[1] (2021)","₹44,397 crore (US$5.8 billion)[1] (2021)","₹32,562 crore (US$4.3 billion)[1] (2021)","₹130,759 crore (US$17 billion)[2] (2021)","₹86,063 crore (US$11 billion)[2] (2021)",www.tcs.com,"528,748[3] (Dec 2021)","BSE: 532540
NSE: TCS
BSE SENSEX Constituent
NSE NIFTY 50 Constituent",Tata Group,,Worldwide,Tata Sons,,"TCS China
TRDDC",INE467B01029,,,L22210MH1995PLC084781,TATA CONSULTANCY SERVICES LIMITED,Active,RoC-Mumbai,84781.0,Company limited by Shares,Non-govt company,Public,19 January 1995,"27 years, 2 month, 20 days",Printing and service activities related to printing,-,"₹5,650,750,000","₹3,699,051,260",10 June 2021,31 March 2021,"Tata Consultancy Services Limited is a Public incorporated on 19 January 1995. It is classified as Non-govt company and is registered at Registrar of Companies, Mumbai. Its authorized share capital is Rs. 5,650,750,000 and its paid up capital is Rs. 3,699,051,260. It is inolved in Printing and service activities related to printing

Tata Consultancy Services Limited's Annual General Meeting (AGM) was last held on 10 June 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Tata Consultancy Services Limited are Pradeep Kumar Khosla, Chandrasekaran Natarajan, Ganapathy Subramaniam Natarajan, Keki Minoo Mistry, Aarthi Subramanian, Hanne Birgitte Breinbjerg Sorensen, Rajesh Gopinathan, Daniel Hughes Callahan, Om Prakash Bhatt, .

Tata Consultancy Services Limited's Corporate Identification Number is (CIN) L22210MH1995PLC084781 and its registration number is 84781.Its Email address is pradeep.gaitonde@tcs.com and its registered address is 9TH FLOOR, NIRMAL BUILDING NARIMAN POINT MUMBAI MH 400021 IN , - , .

Current status of Tata Consultancy Services Limited is - Active.

"
294,L15491WB1962PLC031425,Tata Global Beverages,Consumer goods,Beverages,Kolkata,1964,Part of Tata Sons,https://en.wikipedia.org/wiki/Tata_Global_Beverages,Public,Fast-moving consumer goods,,"Kolkata, India[1]","Sunil D’Souza
(CEO & MD)[2]
Natarajan Chandrasekaran (Chairman)[3]",,"₹9,749 crore (US$1.3 billion) (2020)[4]",₹887 crore (US$120 million) (2020)[4],₹535 crore (US$70 million) (2020)[4],"₹18,502 crore (US$2.4 billion) (2020)[4]","₹13,722 crore (US$1.8 billion) (2020)[4]",www.tataconsumer.com,"2,689 (2020)[4]","BSE: 500800
NSE: TATACONSUM
NSE NIFTY 50 constituent",Tata Group,Teacoffeewatersaltlentilsspicesready-to-eatsweetener,Worldwide,,,"Good Earth Teas
Tata Coffee
Tetley
Eight O'Clock
Tata Starbucks (50%)
Tata Soulfull",INE192A01025,,,L15491WB1962PLC031425,TATA CONSUMER PRODUCTS LIMITED,Active,RoC-Kolkata,31425.0,Company limited by Shares,Non-govt company,Public,18 October 1962,"59 years, 5 month, 21 days",Manufacture of other food products,-,"₹1,250,000,000","₹921,551,740",25 June 2021,31 March 2021,"Tata Consumer Products Limited is a Public incorporated on 18 October 1962. It is classified as Non-govt company and is registered at Registrar of Companies, Kolkata. Its authorized share capital is Rs. 1,250,000,000 and its paid up capital is Rs. 921,551,740. It is inolved in Manufacture of other food products

Tata Consumer Products Limited's Annual General Meeting (AGM) was last held on 25 June 2021 and as per records from Ministry of Corporate Affairs (MCA), its balance sheet was last filed on 31 March 2021.

Directors of Tata Consumer Products Limited are Bharat Tilakraj Puri, Siraj Azmat Chaudhry, Pathamadai Balachandran Balaji, Chandrasekaran Natarajan, Sunil Alaric Dsouza, Kodumudi Pranatharthiharan Krishnan, Lakshmanan Krishna Kumar, Shikha Sanjaya Sharma, .

Tata Consumer Products Limited's Corporate Identification Number is (CIN) L15491WB1962PLC031425 and its registration number is 31425.Its Email address is neelabja.c@tgbl.com and its registered address is 1,BISHOP LEFROY ROAD KOLKATA WB 700020 IN , - , .

Current status of Tata Consumer Products Limited is - Active.

"
